DATE,OPEN,HIGH,LOW,CLOSE,MARKET CAP,STATUS,VALUE
30-Mar-17,1042.21,1049.29,1020.04,1026.43,"16,929,800,000",-0.015140903,0
29-Mar-17,1046.08,1055.13,1015.88,1039.97,"16,990,900,000",-0.005840853,0
28-Mar-17,1044.58,1064.65,1027.73,1047.15,"16,964,500,000",0.002460319,1
27-Mar-17,972.05,1046.4,971.98,1045.77,"15,785,000,000",0.07583972,1
26-Mar-17,974.01,1007.96,954.19,966.73,"15,814,800,000",-0.007474256,0
25-Mar-17,936.54,975.76,903.71,972.78,"15,204,800,000",0.038695624,1
24-Mar-17,1038.45,1040.47,934.36,937.52,"16,857,000,000",-0.097192932,0
23-Mar-17,1050.05,1058.01,1028.93,1038.59,"17,043,400,000",-0.010913766,0
22-Mar-17,1120.65,1120.65,1014.21,1049.14,"18,187,100,000",-0.063811181,0
21-Mar-17,1055.36,1122.43,1055.36,1120.54,"17,125,600,000",0.061760916,1
20-Mar-17,1037.24,1063.03,1036.68,1054.23,"16,829,800,000",0.016380008,1
19-Mar-17,976.73,1069.91,976.73,1036.74,"15,846,000,000",0.061439702,1
18-Mar-17,1099.69,1114.07,957.65,973.82,"17,838,700,000",-0.11445953,0
17-Mar-17,1180.16,1180.16,1099.57,1100.23,"19,141,800,000",-0.067728105,0
16-Mar-17,1251.33,1257.98,1152.44,1187.81,"20,293,700,000",-0.050761989,0
15-Mar-17,1240.16,1251.61,1239.75,1249.61,"20,110,400,000",0.007619985,1
14-Mar-17,1232.16,1244.81,1220.72,1240,"19,978,200,000",0.00636281,1
13-Mar-17,1221.78,1237.37,1217.03,1231.92,"19,807,700,000",0.008299366,1
12-Mar-17,1176.62,1226.98,1175.36,1221.38,"19,073,300,000",0.038041169,1
11-Mar-17,1116.32,1193.83,1116.32,1175.83,"18,093,700,000",0.053309087,1
10-Mar-17,1189.36,1270.47,1077.25,1116.72,"19,275,300,000",-0.061074864,0
9-Mar-17,1150.35,1197.46,1141.23,1188.49,"18,640,900,000",0.033155127,1
8-Mar-17,1223.23,1232.16,1148.08,1150,"19,819,800,000",-0.059866092,0
7-Mar-17,1273.21,1275.55,1204.8,1223.54,"20,627,100,000",-0.039011632,0
6-Mar-17,1267.47,1276,1264.6,1272.83,"20,531,900,000",0.004228897,1
5-Mar-17,1254.29,1267.29,1238.06,1267.12,"20,316,000,000",0.010228894,1
4-Mar-17,1277.43,1279.4,1230.51,1255.15,"20,688,800,000",-0.017441269,0
3-Mar-17,1250.71,1280.31,1250.71,1274.99,"20,253,700,000",0.019412973,1
2-Mar-17,1224.68,1262.13,1215.62,1251.01,"19,829,800,000",0.021499494,1
1-Mar-17,1180.04,1222.5,1179.69,1222.5,"19,104,800,000",0.035981831,1
28-Feb-17,1180.72,1193.25,1171.82,1179.97,"19,113,600,000",-0.000635206,0
27-Feb-17,1163.78,1181.98,1163.38,1179.97,"18,837,300,000",0.013911564,1
26-Feb-17,1144.27,1167.47,1130.2,1165.2,"18,518,900,000",0.018291138,1
25-Feb-17,1170.41,1174.85,1124.59,1143.84,"18,939,500,000",-0.022701447,0
24-Feb-17,1172.71,1200.39,1131.96,1173.68,"18,974,400,000",0.000827144,1
23-Feb-17,1117.27,1176.62,1116.96,1166.72,"18,075,200,000",0.044259669,1
22-Feb-17,1114.8,1125.39,1100.55,1117.44,"18,033,400,000",0.002368138,1
21-Feb-17,1079.28,1117.25,1076.93,1115.3,"17,456,900,000",0.033374101,1
20-Feb-17,1048.69,1080.49,1041.69,1079.98,"16,960,200,000",0.029837225,1
19-Feb-17,1054.76,1056.81,1043.46,1047.87,"17,056,600,000",-0.006532292,0
18-Feb-17,1049.21,1061.1,1046.96,1054.42,"16,964,800,000",0.004965641,1
17-Feb-17,1026.12,1053.17,1025.64,1046.21,"16,589,600,000",0.019578607,1
16-Feb-17,1007.65,1033.37,1007.65,1027.44,"16,289,100,000",0.019639756,1
15-Feb-17,1006.21,1008.84,1001.58,1007.48,"16,264,100,000",0.001262162,1
14-Feb-17,991.74,1011.51,986.47,1004.55,"16,028,000,000",0.012916692,1
13-Feb-17,998.88,1002.1,976,990.64,"16,141,500,000",-0.008249239,0
12-Feb-17,1003.52,1004.76,996.92,999.18,"16,214,700,000",-0.004324777,0
11-Feb-17,988.9,1009.29,982.83,1004.45,"15,976,700,000",0.015724542,1
10-Feb-17,995.63,998.9,946.69,988.67,"16,083,600,000",-0.006990549,0
9-Feb-17,1064.7,1088.99,953.34,994.38,"17,197,100,000",-0.066046774,0
8-Feb-17,1062.32,1078.97,1037.49,1063.07,"17,156,700,000",0.000706002,1
